Region,Measure,Year,2011 Score,2021 Score
East Midlands,Anxiety,2011,3.12,3.08
East Midlands,Happiness,2011,7.34,7.48
East Midlands,Life satisfaction,2011,7.47,7.57
East Midlands,Worthwhile,2011,7.71,7.83
East of England,Anxiety,2011,3.07,3.02
East of England,Happiness,2011,7.37,7.53
East of England,Life satisfaction,2011,7.46,7.65
East of England,Worthwhile,2011,7.71,7.85
London,Anxiety,2011,3.42,3.28
London,Happiness,2011,7.2,7.37
London,Life satisfaction,2011,7.25,7.46
London,Worthwhile,2011,7.51,7.68
North East,Anxiety,2011,3.21,3.08
North East,Happiness,2011,7.19,7.37
North East,Life satisfaction,2011,7.44,7.5
North East,Worthwhile,2011,7.64,7.71
North West,Anxiety,2011,3.17,3.16
North West,Happiness,2011,7.25,7.43
North West,Life satisfaction,2011,7.37,7.51
North West,Worthwhile,2011,7.66,7.78
South East,Anxiety,2011,3.07,3.17
South East,Happiness,2011,7.36,7.48
South East,Life satisfaction,2011,7.51,7.6
South East,Worthwhile,2011,7.76,7.84
South West,Anxiety,2011,3,3.06
South West,Happiness,2011,7.39,7.49
South West,Life satisfaction,2011,7.53,7.55
South West,Worthwhile,2011,7.78,7.74
Wales,Anxiety,2011,3.11,3.17
Wales,Happiness,2011,7.31,7.43
Wales,Life satisfaction,2011,7.4,7.48
Wales,Worthwhile,2011,7.71,7.74
West Midlands,Anxiety,2011,3.04,3.09
West Midlands,Happiness,2011,7.2,7.42
West Midlands,Life satisfaction,2011,7.28,7.51
West Midlands,Worthwhile,2011,7.53,7.74
Yorkshire and The Humber,Anxiety,2011,3.09,3.11
Yorkshire and The Humber,Happiness,2011,7.26,7.49
Yorkshire and The Humber,Life satisfaction,2011,7.39,7.56
Yorkshire and The Humber,Worthwhile,2011,7.69,7.83
